,url,gender,age,age_1,age_2,marital_status,education,country
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:803,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:802,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:800,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:794,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:790,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:787,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:784,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:780,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:779,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:777,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:774,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:761,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:755,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:753,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:740,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:739,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:737,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:736,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:732,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:723,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:717,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:715,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:713,,,,,,,
0,http://sleepanddreamdatabase.org/dream/person?personid=gackenbach:lucid:710,,,,,,,
